Number of files in the pypy subtree
number of files,  number of non-test files,  number of testfiles
2004-06-07, 195, 64
2004-06-08, 195, 64
2004-06-09, 195, 64
2004-06-10, 195, 64
2004-06-11, 198, 64
2004-06-12, 198, 64
2004-06-13, 199, 64
2004-06-15, 199, 64
2004-06-16, 184, 65
2004-06-17, 185, 64
2004-06-18, 185, 64
2004-06-19, 185, 64
2004-06-20, 185, 64
2004-06-21, 185, 64
2004-06-22, 186, 64
2004-06-23, 186, 64
2004-06-24, 186, 64
2004-06-25, 186, 64
2004-06-26, 187, 64
2004-06-27, 188, 65
2004-06-28, 195, 67
2004-06-29, 195, 67
2004-06-30, 195, 67
2004-07-01, 195, 67
2004-07-02, 196, 67
2004-07-03, 195, 67
2004-07-04, 194, 67
2004-07-05, 194, 67
2004-07-06, 195, 69
2004-07-07, 195, 69
2004-07-08, 195, 69
2004-07-09, 195, 69
2004-07-10, 195, 69
2004-07-11, 195, 69
2004-07-12, 198, 69
2004-07-13, 198, 69
2004-07-14, 198, 69
2004-07-15, 198, 69
2004-07-16, 198, 68
2004-07-17, 192, 66
2004-07-21, 192, 66
2004-07-22, 192, 66
2004-07-23, 192, 66
2004-07-24, 194, 66
2004-07-25, 195, 66
2004-07-26, 195, 66
2004-07-27, 195, 66
2004-07-28, 197, 67
2004-07-29, 197, 67
2004-07-30, 197, 67
2004-07-31, 197, 67
2004-08-01, 197, 67
2004-08-02, 197, 67
2004-08-03, 197, 67
2004-08-04, 197, 67
2004-08-05, 197, 67
2004-08-06, 197, 67
2004-08-07, 197, 67
2004-08-08, 197, 67
2004-08-09, 197, 67
2004-08-10, 197, 67
2004-08-11, 197, 67
2004-08-12, 197, 67
2004-08-13, 197, 67
2004-08-14, 198, 67
2004-08-15, 198, 67
2004-08-16, 199, 67
2004-08-17, 199, 67
2004-08-18, 199, 67
2004-08-19, 199, 67
2004-08-20, 199, 67
2004-08-21, 199, 67
2004-08-22, 199, 67
2004-08-23, 199, 67
2004-08-24, 200, 67
2004-08-25, 200, 67
2004-08-26, 200, 67
2004-08-27, 200, 67
2004-08-30, 200, 67
2004-08-31, 200, 67
2004-09-01, 200, 67
2004-09-02, 200, 67
2004-09-03, 200, 67
2004-09-04, 200, 67
2004-09-06, 200, 67
2004-09-07, 205, 68
2004-09-08, 205, 68
2004-09-09, 206, 68
2004-09-10, 207, 68
2004-09-11, 207, 68
2004-09-12, 207, 68
2004-09-13, 207, 68
2004-09-14, 207, 68
2004-09-15, 207, 68
2004-09-16, 207, 68
2004-09-17, 207, 68
2004-09-18, 207, 68
2004-09-19, 207, 68
2004-09-20, 207, 68
2004-09-21, 207, 68
2004-09-22, 207, 68
2004-09-23, 207, 68
2004-09-24, 207, 68
2004-09-25, 207, 68
2004-09-26, 207, 68
2004-09-27, 207, 68
2004-09-28, 207, 68
2004-09-29, 207, 68
2004-09-30, 207, 68
2004-10-01, 207, 68
2004-10-02, 207, 68
2004-10-03, 207, 68
2004-10-04, 207, 68
2004-10-05, 207, 68
2004-10-06, 207, 68
2004-10-07, 207, 68
2004-10-08, 207, 68
2004-10-09, 207, 68
2004-10-10, 202, 68
2004-10-11, 202, 68
2004-10-13, 202, 68
2004-10-14, 202, 68
2004-10-15, 202, 68
2004-10-16, 202, 68
2004-10-17, 202, 68
2004-10-18, 202, 68
2004-10-19, 202, 68
2004-10-20, 202, 68
2004-10-21, 202, 68
2004-10-22, 202, 68
2004-10-23, 202, 68
2004-10-24, 202, 68
2004-10-25, 202, 68
2004-10-26, 202, 68
2004-10-27, 202, 68
2004-10-28, 202, 68
2004-10-29, 202, 68
2004-10-30, 202, 68
2004-10-31, 202, 68
2004-11-01, 202, 68
2004-11-02, 202, 68
2004-11-03, 202, 68
2004-11-04, 202, 68
2004-11-05, 202, 68
2004-11-06, 202, 68
2004-11-08, 202, 68
2004-11-09, 202, 68
2004-11-10, 202, 68
2004-11-11, 202, 68
2004/11/12, 202, 68
2004/11/15, 203, 67
2004/11/16, 201, 66
2004/11/17, 204, 67
2004/11/18, 208, 69
2004/11/19, 208, 69
2004/11/20, 210, 71
2004/11/21, 210, 71
2004/11/22, 210, 71
2004/11/23, 211, 72
2004/11/24, 213, 72
2004/11/25, 213, 72
2004/11/27, 213, 72
2004/11/28, 213, 72
2004/11/29, 213, 73
2004/11/30, 214, 73
2004/12/04, 216, 73
2004/12/06, 216, 73
2004/12/07, 216, 74
2004/12/08, 216, 74
2004/12/09, 216, 74
2004/12/10, 216, 74
2004/12/13, 216, 74
2004/12/16, 217, 74
2004/12/17, 217, 75
2004/12/18, 217, 75
2004/12/19, 218, 75
2004/12/20, 218, 75
2004/12/22, 218, 75
2004/12/24, 218, 76
2004/12/27, 218, 76
2004/12/30, 218, 76
2005/01/01, 218, 76
2005/01/02, 218, 76
2005/01/03, 218, 76
2005/01/08, 218, 76
2005/01/09, 218, 76
2005/01/10, 218, 76
2005/01/11, 218, 76
2005/01/12, 224, 77
2005/01/13, 224, 77
2005/01/14, 224, 77
2005/01/15, 224, 77
2005/01/16, 224, 77
2005/01/17, 224, 77
2005/01/18, 224, 77
2005/01/19, 224, 78
2005/01/20, 224, 78
2005/01/22, 224, 78
2005/01/23, 224, 78
2005/01/24, 224, 78
2005/01/25, 225, 80
2005/01/26, 225, 80
2005/01/27, 211, 79
2005/01/28, 232, 80
2005/01/29, 228, 82
2005/01/30, 228, 82
2005/01/31, 228, 82
2005/02/01, 231, 82
2005/02/02, 232, 83
2005/02/03, 232, 83
2005/02/04, 231, 84
2005/02/05, 231, 84
2005/02/06, 239, 85
2005/02/07, 240, 85
2005/02/08, 240, 85
2005/02/09, 240, 85
2005/02/10, 242, 86
2005/02/11, 242, 87
2005/02/13, 243, 87
2005/02/13, 243, 87
2005/02/13, 243, 87
2005/02/14, 243, 87
2005/02/15, 244, 87
2005/02/16, 244, 87
2005/02/17, 244, 87
2005/02/18, 244, 88
2005/02/19, 259, 88
2005/02/21, 259, 88
2005/02/22, 259, 89
2005/02/23, 259, 89
2005/02/24, 261, 89
2005/02/25, 262, 90
2005/02/26, 262, 90
2005/02/27, 262, 90
2005/02/28, 263, 90
2005/03/01, 263, 90
2005/03/02, 264, 90
2005/03/03, 264, 90
2005/03/04, 264, 90
2005/03/05, 264, 90
2005/03/06, 264, 90
2005/03/10, 265, 90
2005/03/11, 265, 90
2005/03/12, 265, 90
2005/03/13, 265, 90
2005/03/14, 265, 90
2005/03/15, 265, 90
2005/03/17, 266, 90
2005/03/19, 267, 90
2005/03/20, 272, 94
2005/03/21, 276, 95
2005/03/22, 288, 97
2005/03/23, 289, 96
2005/03/24, 289, 96
2005/03/27, 289, 96
2005/03/28, 289, 96
2005/03/29, 290, 97
2005/03/30, 290, 97
2005/03/31, 291, 97
2005/04/01, 297, 97
2005/04/02, 305, 97
2005/04/03, 309, 97
2005/04/04, 310, 97
2005/04/05, 310, 97
2005/04/06, 310, 97
2005/04/07, 310, 97
2005/04/08, 310, 97
2005/04/09, 310, 97
2005/04/10, 311, 97
2005/04/11, 313, 96
2005/04/12, 316, 97
2005/04/13, 317, 97
2005/04/14, 321, 100
2005/04/15, 322, 100
2005/04/16, 323, 100
2005/04/17, 326, 101
2005/04/18, 326, 101
2005/04/19, 326, 101
2005/04/20, 325, 103
2005/04/21, 325, 104
2005/04/22, 325, 104
2005/04/23, 325, 104
2005/04/24, 327, 104
2005/04/25, 342, 129
2005/04/26, 363, 110
2005/04/27, 365, 110
2005/04/28, 365, 110
2005/04/29, 368, 112
2005/04/30, 368, 113
2005/05/01, 357, 104
2005/05/02, 364, 105
2005/05/03, 366, 106
2005/05/04, 366, 106
2005/05/05, 367, 107
2005/05/06, 367, 107
2005/05/07, 367, 107
2005/05/08, 367, 108
2005/05/09, 368, 108
2005/05/10, 371, 110
2005/05/11, 372, 111
2005/05/12, 374, 113
2005/05/13, 375, 114
2005/05/14, 375, 114
2005/05/15, 386, 115
2005/05/16, 385, 115
2005/05/17, 385, 115
2005/05/18, 426, 112
2005/05/19, 425, 112
2005/05/20, 425, 112
2005/05/21, 436, 113
2005/05/22, 434, 113
2005/05/23, 440, 113
2005/05/24, 446, 114
2005/05/25, 448, 114
2005/05/26, 448, 114
2005/05/27, 452, 114
2005/05/28, 452, 114
2005/05/29, 453, 114
2005/05/30, 454, 118
2005/05/31, 457, 120
2005/06/01, 457, 121
2005/06/02, 458, 122
2005/06/03, 458, 122
2005/06/04, 459, 123
2005/06/05, 462, 122
2005/06/06, 469, 124
2005/06/07, 469, 124
2005/06/08, 471, 125
2005/06/09, 472, 124
2005/06/10, 473, 125
2005/06/11, 473, 126
2005/06/12, 474, 126
2005/06/13, 474, 127
2005/06/14, 457, 130
2005/06/15, 456, 130
2005/06/16, 455, 130
2005/06/17, 455, 130
2005/06/18, 466, 131
2005/06/19, 468, 133
2005/06/20, 470, 134
2005/06/21, 472, 134
2005/06/22, 472, 134
2005/06/23, 473, 135
2005/06/24, 469, 136
2005/06/25, 470, 137
2005/06/26, 470, 137
2005/06/28, 470, 137
2005/06/29, 471, 137
2005/06/30, 471, 137
2005/07/01, 472, 137
2005/07/02, 472, 138
2005/07/03, 507, 141
2005/07/04, 507, 141
2005/07/05, 524, 141
2005/07/06, 528, 143
2005/07/07, 531, 147
2005/07/09, 531, 147
2005/07/10, 535, 148
2005/07/11, 535, 148
2005/07/12, 536, 148
2005/07/13, 536, 148
2005/07/14, 537, 148
2005/07/15, 538, 148
2005/07/18, 541, 149
2005/07/19, 523, 144
2005/07/20, 526, 144
2005/07/21, 527, 148
2005/07/22, 527, 149
2005/07/23, 527, 149
2005/07/24, 527, 149
2005/07/25, 534, 154
2005/07/26, 541, 154
2005/07/27, 544, 155
2005/07/28, 557, 156
2005/07/29, 565, 157
2005/07/30, 571, 161
2005/07/31, 573, 164
2005/08/02, 574, 165
2005/08/03, 583, 167
2005/08/04, 588, 167
2005/08/05, 589, 168
2005/08/06, 590, 169
2005/08/07, 591, 169
2005/08/08, 594, 171
2005/08/09, 596, 171
2005/08/10, 601, 173
2005/08/11, 605, 175
2005/08/12, 605, 175
2005/08/13, 605, 175
2005/08/14, 605, 175
2005/08/15, 606, 175
2005/08/16, 607, 176
2005/08/17, 607, 176
2005/08/18, 608, 176
2005/08/19, 623, 181
2005/08/20, 623, 181
2005/08/22, 626, 182
2005/08/23, 630, 185
2005/08/24, 633, 187
2005/08/25, 625, 187
2005/08/26, 626, 188
2005/08/27, 630, 190
2005/08/28, 630, 190
2005/08/29, 630, 190
2005/08/30, 630, 190
2005/08/31, 630, 190
2005/09/01, 630, 190
2005/09/02, 630, 191
2005/09/03, 630, 191
2005/09/04, 630, 191
2005/09/05, 631, 191
2005/09/06, 646, 191
2005/09/07, 647, 191
2005/09/08, 622, 191
2005/09/09, 625, 192
2005/09/10, 623, 192
2005/09/11, 623, 192
2005/09/12, 623, 192
2005/09/13, 629, 196
2005/09/14, 629, 196
2005/09/15, 631, 196
2005/09/16, 631, 196
2005/09/17, 631, 196
2005/09/18, 632, 196
2005/09/19, 635, 196
2005/09/20, 635, 196
2005/09/21, 636, 196
2005/09/22, 637, 196
2005/09/23, 638, 196
2005/09/24, 638, 195
2005/09/25, 638, 195
2005/09/26, 641, 199
2005/09/27, 645, 200
2005/09/28, 645, 199
2005/09/29, 645, 199
2005/09/30, 644, 200
2005/10/01, 643, 199
2005/10/02, 647, 201
2005/10/03, 648, 201
2005/10/04, 650, 202
2005/10/05, 648, 202
2005/10/06, 629, 200
2005/10/07, 629, 201
2005/10/08, 629, 201
2005/10/09, 629, 201
2005/10/10, 652, 216
2005/10/11, 657, 216
2005/10/12, 663, 217
2005/10/13, 662, 217
2005/10/14, 681, 224
2005/10/15, 688, 226
2005/10/16, 693, 228
2005/10/17, 693, 228
2005/10/18, 695, 229
2005/10/19, 696, 230
2005/10/20, 696, 230
2005/10/21, 698, 230
2005/10/22, 698, 230
2005/10/23, 698, 230
2005/10/24, 698, 229
2005/10/25, 697, 229
2005/10/26, 697, 230
2005/10/27, 684, 230
2005/10/28, 684, 231
2005/10/29, 684, 231
2005/10/30, 681, 231
2005/10/31, 681, 231
2005/11/01, 681, 231
2005/11/02, 681, 231
2005/11/03, 681, 231
2005/11/04, 681, 231
2005/11/05, 681, 231
2005/11/06, 681, 231
2005/11/07, 681, 231
2005/11/08, 681, 231
2005/11/09, 681, 231
2005/11/10, 683, 231
2005/11/11, 683, 232
2005/11/12, 683, 232
2005/11/13, 683, 232
2005/11/14, 683, 232
2005/11/15, 683, 232
2005/11/16, 682, 232
2005/11/17, 683, 232
2005/11/18, 683, 232
2005/11/19, 683, 232
2005/11/21, 683, 232
2005/11/22, 683, 232
2005/11/23, 683, 232
2005/11/25, 683, 232
2005/11/27, 683, 232
2005/11/28, 685, 233
2005/11/29, 686, 233
2005/11/30, 687, 233
2005/12/01, 689, 232
2005/12/02, 690, 233
2005/12/03, 690, 233
2005/12/04, 690, 233
2005/12/05, 690, 233
2005/12/06, 690, 233
2005/12/07, 694, 235
2005/12/08, 694, 237
2005/12/09, 698, 240
2005/12/10, 698, 240
2005/12/11, 699, 239
2005/12/12, 699, 239
2005/12/13, 700, 239
2005/12/14, 700, 240
2005/12/15, 703, 243
2005/12/16, 703, 243
2005/12/17, 704, 243
2005/12/18, 704, 243
2005/12/19, 704, 243
2005/12/20, 704, 243
2005/12/21, 704, 245
2005/12/22, 704, 245
2005/12/23, 704, 246
2005/12/24, 704, 246
2005/12/25, 704, 246
2005/12/27, 704, 246
2005/12/29, 706, 247
2005/12/30, 708, 247
2005/12/31, 708, 247
2006/01/02, 710, 247
2006/01/04, 710, 247
2006/01/05, 710, 247
2006/01/06, 711, 247
2006/01/07, 711, 248
2006/01/08, 711, 248
2006/01/09, 711, 248
2006/01/10, 712, 249
2006/01/11, 712, 249
2006/01/12, 712, 249
2006/01/13, 712, 249
2006/01/14, 713, 250
2006/01/15, 713, 251
2006/01/16, 713, 251
2006/01/17, 713, 251
2006/01/18, 713, 251
2006/01/19, 714, 252
2006/01/20, 715, 253
2006/01/21, 715, 253
2006/01/22, 715, 253
2006/01/23, 721, 255
2006/01/24, 725, 257
2006/01/25, 731, 261
2006/01/26, 735, 264
2006/01/27, 746, 266
2006/01/28, 744, 265
2006/01/29, 745, 265
2006/01/30, 745, 265
2006/01/31, 746, 268
2006/02/01, 746, 268
2006/02/02, 747, 268
2006/02/03, 747, 269
2006/02/04, 749, 270
2006/02/05, 749, 270
2006/02/06, 749, 271
2006/02/07, 749, 274
2006/02/08, 753, 275
2006/02/09, 754, 275
2006/02/10, 754, 275
2006/02/11, 754, 275
2006/02/12, 755, 275
2006/02/13, 755, 275
2006/02/14, 756, 275
2006/02/15, 756, 276
2006/02/16, 759, 278
2006/02/17, 759, 279
2006/02/18, 759, 279
2006/02/19, 760, 279
2006/02/20, 760, 279
2006/02/21, 761, 281
2006/02/22, 761, 281
2006/02/23, 762, 282
2006/02/25, 762, 282
2006/02/26, 762, 282
2006/02/27, 764, 283
2006/02/28, 766, 284
2006/03/01, 775, 287
2006/03/02, 776, 287
2006/03/03, 776, 287
2006/03/04, 776, 287
2006/03/06, 777, 287
2006/03/07, 777, 287
2006/03/08, 778, 287
2006/03/09, 781, 288
2006/03/10, 781, 288
2006/03/11, 781, 288
2006/03/12, 781, 288
2006/03/13, 784, 289
2006/03/14, 784, 289
2006/03/15, 784, 290
2006/03/16, 785, 290
2006/03/17, 786, 291
2006/03/18, 786, 291
2006/03/19, 788, 291
2006/03/20, 792, 292
2006/03/21, 792, 292
2006/03/22, 806, 294
2006/03/23, 809, 295
2006/03/24, 813, 297
2006/03/25, 813, 299
2006/03/26, 814, 299
2006/03/27, 815, 299
2006/03/28, 818, 300
2006/03/29, 820, 300
2006/03/30, 820, 300
2006/03/31, 821, 301
2006/04/01, 829, 302
2006/04/02, 840, 304
2006/04/03, 842, 305
2006/04/04, 846, 305
2006/04/05, 853, 305
2006/04/06, 848, 305
2006/04/07, 852, 308
2006/04/08, 854, 308
2006/04/09, 875, 309
2006/04/10, 878, 312
2006/04/11, 878, 313
2006/04/12, 880, 315
2006/04/13, 884, 316
2006/04/14, 887, 316
2006/04/15, 896, 318
2006/04/16, 897, 319
2006/04/17, 900, 320
2006/04/18, 900, 321
2006/04/19, 910, 323
2006/04/20, 919, 325
2006/04/21, 924, 326
2006/04/22, 927, 328
2006/04/23, 930, 333
2006/04/24, 935, 336
2006/04/25, 940, 338
2006/04/26, 943, 339
2006/04/27, 943, 342
2006/04/28, 945, 345
2006/04/29, 946, 347
2006/04/30, 948, 347
2006/05/01, 948, 347
2006/05/02, 949, 349
2006/05/03, 949, 350
2006/05/04, 948, 351
2006/05/05, 949, 351
2006/05/06, 950, 353
2006/05/07, 950, 353
2006/05/08, 949, 353
2006/05/09, 950, 354
2006/05/10, 955, 355
2006/05/11, 955, 355
2006/05/12, 957, 356
2006/05/13, 957, 356
2006/05/14, 952, 356
2006/05/15, 952, 357
2006/05/16, 952, 357
2006/05/17, 962, 357
2006/05/18, 960, 356
2006/05/19, 961, 357
2006/05/20, 972, 358
2006/05/21, 974, 359
2006/05/22, 974, 359
2006/05/23, 975, 359
2006/05/24, 976, 361
2006/05/25, 976, 361
2006/05/26, 976, 362
2006/05/27, 977, 362
2006/05/28, 977, 362
2006/05/29, 981, 372
2006/05/30, 982, 372
2006/05/31, 982, 372
2006/06/02, 988, 374
2006/06/03, 990, 374
2006/06/04, 998, 379
2006/06/05, 1003, 381
2006/06/06, 1010, 384
2006/06/07, 1019, 385
2006/06/08, 1021, 386
2006/06/09, 1004, 369
2006/06/10, 1004, 369
2006/06/11, 1005, 369
2006/06/12, 1010, 371
2006/06/13, 1004, 371
2006/06/14, 1005, 371
2006/06/15, 1006, 375
2006/06/16, 1007, 377
2006/06/17, 1007, 377
2006/06/18, 1007, 377
2006/06/19, 1007, 377
2006/06/20, 1007, 377
2006/06/21, 1003, 377
2006/06/22, 1011, 378
2006/06/23, 1011, 378
2006/06/24, 1013, 378
2006/06/25, 1016, 380
2006/06/26, 1017, 381
2006/06/27, 1017, 381
2006/06/28, 1018, 381
2006/06/29, 1019, 384
2006/06/30, 1012, 384
2006/07/01, 1012, 384
2006/07/02, 1015, 384
2006/07/03, 1015, 384
2006/07/04, 1015, 384
2006/07/05, 1016, 384
2006/07/06, 1020, 386
2006/07/07, 1031, 393
2006/07/08, 1036, 402
2006/07/09, 1038, 403
2006/07/10, 1038, 403
2006/07/11, 1036, 406
2006/07/12, 1039, 407
2006/07/13, 1040, 407
2006/07/14, 1041, 407
2006/07/15, 1042, 407
2006/07/16, 1043, 408
2006/07/17, 1044, 408
2006-07-18, 1044, 408
2006-07-19, 1044, 408
2006-07-20, 1043, 409
2006-07-21, 1045, 409
2006-07-22, 1045, 409
2006-07-23, 1045, 409
2006-07-24, 1046, 409
2006-07-25, 1046, 410
2006-07-26, 1046, 410
2006-07-27, 1063, 415
2006-07-28, 1065, 415
2006-07-29, 1068, 416
2006-07-30, 1068, 416
2006-07-31, 1068, 416
2006-08-01, 1071, 416
2006-08-02, 1073, 416
2006-08-03, 1061, 412
2006-08-04, 1062, 413
2006-08-05, 1067, 414
2006-08-06, 1067, 414
2006-08-07, 1067, 414
2006-08-08, 1080, 418
2006-08-09, 1081, 420
2006-08-10, 1085, 421
2006-08-11, 1087, 423
2006-08-12, 1088, 423
2006-08-13, 1088, 423
2006-08-14, 1088, 423
2006-08-15, 1088, 423
2006-08-16, 1089, 424
2006-08-17, 1091, 424
