number of subscribers
number of subscribers, pypy-dev, pypy-svn
2004/04/12, 145, 20
2004/04/13, 146, 20
2004/04/14, 146, 20
2004/04/15, 145, 19
2004/04/17, 146, 19
2004/04/19, 146, 19
2004/04/20, 146, 19
2004/04/21, 146, 19
2004/04/22, 146, 19
2004/04/23, 147, 19
2004/04/24, 147, 19
2004/04/26, 147, 19
2004/04/27, 147, 19
2004/04/28, 147, 19
2004/04/29, 146, 19
2004/04/30, 146, 19
2004/05/05, 146, 19
2004/05/10, 144, 19
2004/05/11, 144, 18
2004/05/12, 144, 18
2004/05/14, 144, 18
2004/05/15, 144, 18
2004/05/16, 145, 18
2004/05/19, 145, 18
2004/05/24, 145, 19
2004/05/26, 146, 19
2004/05/27, 146, 19
2004/05/28, 145, 19
2004/05/29, 145, 19
2004/05/30, 145, 19
2004/06/01, 145, 19
2004/06/02, 145, 18
2004/06/05, 145, 19
2004/06/08, 145, 19
2004/06/15, 145, 19
2004/06/16, 145, 19
2004/06/17, 146, 19
2004/06/18, 144, 19
2004/06/19, 145, 19
2004/06/20, 145, 19
2004/06/21, 145, 19
2004/06/22, 145, 19
2004/06/23, 145, 19
2004/06/24, 145, 19
2004/06/25, 145, 19
2004/06/28, 145, 19
2004/06/29, 144, 19
2004/06/30, 144, 19
2004/07/01, 144, 19
2004/07/02, 145, 19
2004/07/03, 146, 19
2004/07/08, 146, 19
2004/07/09, 146, 19
2004/07/10, 145, 19
2004/07/12, 144, 19
2004/07/13, 144, 19
2004/07/15, 145, 19
2004/07/18, 145, 19
2004/07/19, 144, 19
2004/07/20, 144, 19
2004/07/21, 144, 19
2004/07/22, 144, 19
2004/07/23, 144, 19
2004/07/24, 144, 19
2004/07/25, 143, 19
2004/07/26, 145, 19
2004/07/27, 145, 19
2004/07/28, 145, 19
2004/07/29, 145, 19
2004/07/30, 145, 19
2004/07/31, 145, 19
2004/08/01, 145, 19
2004/08/02, 145, 19
2004/08/03, 145, 19
2004/08/04, 145, 19
2004/08/05, 144, 19
2004/08/06, 144, 19
2004/08/09, 144, 19
2004/08/10, 144, 19
2004/08/11, 144, 19
2004/08/12, 144, 19
2004/08/13, 145, 19
2004/08/14, 146, 19
2004/08/15, 146, 19
2004/08/16, 146, 19
2004/08/17, 146, 19
2004/08/18, 146, 19
2004/08/19, 147, 19
2004/08/20, 148, 19
2004/08/30, 147, 19
2004/08/31, 147, 19
2004/09/02, 147, 19
2004/09/03, 147, 19
2004/09/06, 148, 19
2004/09/09, 148, 19
2004/09/10, 148, 19
2004/09/13, 148, 19
2004/09/15, 148, 19
2004/09/16, 148, 19
2004/09/17, 148, 19
2004/09/18, 148, 19
2004/09/19, 148, 19
2004/09/22, 148, 19
2004/09/23, 149, 19
2004/09/24, 149, 19
2004/09/25, 148, 20
2004/09/26, 148, 20
2004/09/27, 148, 20
2004/09/28, 148, 20
2004/09/29, 148, 20
2004/09/30, 148, 20
2004/10/01, 148, 20
2004/10/02, 148, 20
2004/10/03, 148, 20
2004/10/05, 148, 20
2004/10/06, 148, 20
2004/10/07, 148, 20
2004/10/08, 147, 20
2004/10/09, 147, 20
2004/10/10, 147, 20
2004/10/11, 147, 20
2004/10/14, 147, 20
2004/10/15, 147, 20
2004/10/17, 148, 20
2004/10/18, 148, 20
2004/10/19, 148, 20
2004/10/20, 148, 21
2004/10/21, 148, 21
2004/10/22, 147, 21
2004/10/26, 147, 21
2004/10/27, 147, 21
2004/10/28, 147, 21
2004/10/29, 148, 22
2004/10/30, 148, 22
2004/10/31, 148, 22
2004/11/01, 148, 22
2004/11/02, 148, 22
2004/11/03, 148, 22
2004/11/04, 148, 22
2004/11/05, 148, 22
2004/11/08, 148, 22
2004/11/09, 148, 22
2004/11/10, 149, 22
2004/11/11, 149, 22
2004/11/12, 149, 22
2004/11/15, 150, 22
2004/11/16, 150, 23
2004/11/17, 151, 23
2004/11/18, 151, 23
2004/11/19, 151, 24
2004/11/20, 151, 24
2004/11/22, 151, 24
2004/11/23, 151, 24
2004/11/25, 150, 24
2004/11/26, 150, 24
2004/11/27, 149, 24
2004/11/28, 150, 24
2004/11/29, 150, 24
2004/11/30, 150, 24
2004/12/01, 149, 24
2004/12/02, 149, 24
2004/12/03, 149, 24
2004/12/06, 152, 25
2004/12/07, 152, 25
2004/12/08, 152, 26
2004/12/09, 152, 26
2004/12/10, 153, 26
2004/12/13, 154, 26
2004/12/14, 155, 26
2004/12/16, 156, 26
2004/12/17, 156, 26
2004/12/18, 158, 25
2004/12/19, 158, 25
2004/12/20, 159, 25
2004/12/21, 159, 25
2004/12/22, 159, 26
2004/12/23, 159, 26
2004/12/24, 159, 26
2004/12/26, 159, 26
2004/12/27, 159, 26
2004/12/28, 160, 26
2004/12/29, 160, 26
2004/12/30, 161, 26
2004/12/31, 162, 26
2005/01/02, 163, 26
2005/01/03, 163, 26
2005/01/05, 163, 26
2005/01/07, 165, 26
2005/01/08, 165, 26
2005/01/09, 166, 26
2005/01/10, 167, 26
2005/01/12, 167, 26
2005/01/13, 168, 27
2005/01/14, 168, 27
2005/01/15, 168, 27
2005/01/16, 168, 27
2005/01/17, 170, 27
2005/01/18, 170, 27
2005/01/19, 170, 27
2005/01/20, 171, 27
2005/01/21, 171, 27
2005/01/23, 171, 28
2005/01/24, 171, 28
2005/01/25, 171, 28
2005/01/26, 171, 28
2005/01/27, 172, 28
2005/01/28, 172, 28
2005/01/29, 172, 28
2005/01/30, 172, 28
2005/01/31, 172, 28
2005/02/01, 174, 28
2005/02/02, 174, 29
2005/02/03, 174, 30
2005/02/04, 174, 30
2005/02/06, 175, 30
2005/02/07, 176, 30
2005/02/08, 177, 30
2005/02/09, 177, 30
2005/02/10, 177, 30
2005/02/11, 178, 31
2005/02/12, 178, 31
2005/02/14, 178, 32
2005/02/15, 182, 32
2005/02/16, 183, 32
2005/02/17, 184, 32
2005/02/18, 184, 32
2005/02/19, 184, 32
2005/02/20, 184, 32
2005/02/21, 184, 32
2005/02/22, 184, 31
2005/02/23, 183, 31
2005/02/24, 183, 31
2005/02/25, 183, 31
2005/02/26, 184, 31
2005/02/27, 184, 31
2005/02/28, 185, 31
2005/03/01, 185, 31
2005/03/02, 185, 31
2005/03/03, 185, 31
2005/03/04, 185, 31
2005/03/05, 185, 31
2005/03/06, 185, 31
2005/03/07, 186, 31
2005/03/08, 187, 31
2005/03/10, 187, 31
2005/03/13, 188, 31
2005/03/14, 187, 31
2005/03/15, 187, 31
2005/03/16, 188, 31
2005/03/17, 188, 31
2005/03/18, 188, 31
2005/03/19, 188, 31
2005/03/20, 188, 32
2005/03/21, 188, 33
2005/03/22, 188, 33
2005/03/23, 188, 33
2005/03/24, 188, 33
2005/03/28, 188, 33
2005/03/29, 190, 33
2005/03/30, 190, 33
2005/03/31, 190, 34
2005/04/01, 190, 34
2005/04/02, 191, 34
2005/04/03, 191, 34
2005/04/04, 191, 34
2005/04/05, 191, 35
2005/04/06, 191, 35
2005/04/07, 191, 35
2005/04/08, 191, 35
2005/04/11, 191, 35
2005/04/13, 191, 35
2005/04/14, 191, 35
2005/04/15, 191, 35
2005/04/16, 191, 35
2005/04/17, 191, 35
2005/04/18, 192, 35
2005/04/19, 192, 35
2005/04/20, 192, 35
2005/04/21, 192, 35
2005/04/22, 192, 35
2005/04/23, 192, 35
2005/04/24, 192, 35
2005/04/25, 192, 35
2005/04/26, 192, 35
2005/04/27, 192, 35
2005/04/28, 192, 35
2005/04/29, 191, 34
2005/05/02, 192, 34
2005/05/03, 191, 34
2005/05/04, 191, 34
2005/05/05, 192, 34
2005/05/06, 192, 34
2005/05/07, 192, 34
2005/05/08, 191, 34
2005/05/09, 191, 34
2005/05/10, 191, 34
2005/05/11, 192, 34
2005/05/12, 193, 34
2005/05/13, 194, 34
2005/05/14, 194, 34
2005/05/15, 194, 34
2005/05/16, 194, 34
2005/05/17, 195, 34
2005/05/18, 195, 34
2005/05/19, 195, 34
2005/05/20, 196, 34
2005/05/21, 196, 34
2005/05/22, 196, 34
2005/05/23, 196, 34
2005/05/24, 198, 34
2005/05/25, 200, 34
2005/05/26, 200, 34
2005/05/27, 200, 34
2005/05/28, 199, 34
2005/05/29, 199, 34
2005/05/30, 200, 35
2005/05/31, 200, 35
2005/06/01, 200, 35
2005/06/02, 200, 35
2005/06/03, 200, 35
2005/06/04, 200, 35
2005/06/05, 200, 35
2005/06/07, 200, 35
2005/06/08, 201, 35
2005/06/09, 201, 35
2005/06/10, 202, 35
2005/06/11, 204, 35
2005/06/12, 204, 35
2005/06/13, 205, 35
2005/06/14, 204, 35
2005/06/16, 205, 35
2005/06/18, 206, 35
2005/06/19, 206, 35
2005/06/20, 206, 35
2005/06/21, 207, 35
2005/06/22, 208, 35
2005/06/23, 208, 35
2005/06/24, 208, 35
2005/06/25, 208, 35
2005/06/26, 208, 35
2005/06/27, 209, 35
2005/06/28, 209, 35
2005/06/29, 209, 35
2005/06/30, 210, 35
2005/07/01, 210, 36
2005/07/02, 211, 36
2005/07/03, 211, 36
2005/07/04, 211, 36
2005/07/05, 211, 36
2005/07/06, 212, 36
2005/07/08, 212, 36
2005/07/09, 212, 36
2005/07/10, 213, 36
2005/07/11, 213, 36
2005/07/12, 213, 37
2005/07/14, 213, 37
2005/07/15, 214, 37
2005/07/16, 214, 37
2005/07/18, 214, 37
2005/07/19, 215, 37
2005/07/20, 215, 37
2005/07/21, 215, 37
2005/07/22, 215, 37
2005/07/23, 216, 37
2005/07/24, 216, 37
2005/07/25, 216, 37
2005/07/26, 216, 37
2005/07/27, 216, 37
2005/07/28, 216, 37
2005/07/30, 216, 37
2005/08/01, 215, 37
2005/08/02, 216, 37
2005/08/03, 216, 37
2005/08/04, 216, 37
2005/08/05, 216, 37
2005/08/06, 217, 37
2005/08/07, 217, 37
2005/08/08, 217, 37
2005/08/09, 218, 38
2005/08/11, 217, 38
2005/08/12, 217, 38
2005/08/15, 217, 37
2005/08/16, 218, 37
2005/08/17, 218, 37
2005/08/18, 219, 37
2005/08/20, 219, 37
2005/08/21, 219, 37
2005/08/22, 219, 37
2005/08/23, 219, 37
2005/08/24, 219, 37
2005/08/25, 219, 37
2005/08/26, 219, 37
2005/08/27, 219, 37
2005/08/28, 219, 37
2005/08/29, 219, 37
2005/08/30, 219, 37
2005/08/31, 220, 37
2005/09/01, 220, 37
2005/09/02, 221, 38
2005/09/04, 221, 38
2005/09/05, 221, 38
2005/09/06, 223, 38
2005/09/07, 223, 38
2005/09/08, 223, 38
2005/09/09, 223, 38
2005/09/11, 223, 38
2005/09/12, 223, 38
2005/09/13, 224, 38
2005/09/15, 224, 38
2005/09/16, 224, 38
2005/09/17, 224, 38
2005/09/19, 224, 39
2005/09/20, 223, 39
2005/09/21, 224, 39
2005/09/22, 225, 39
2005/09/23, 227, 39
2005/09/24, 227, 39
2005/09/25, 230, 39
2005/09/26, 231, 39
2005/09/27, 231, 39
2005/09/28, 231, 39
2005/09/29, 232, 39
2005/09/30, 233, 39
2005/10/01, 233, 39
2005/10/02, 233, 39
2005/10/03, 233, 40
2005/10/04, 234, 40
2005/10/05, 234, 40
2005/10/06, 235, 40
2005/10/07, 236, 41
2005/10/08, 237, 41
2005/10/09, 237, 41
2005/10/11, 237, 42
2005/10/12, 239, 43
2005/10/13, 239, 43
2005/10/14, 239, 43
2005/10/16, 240, 43
2005/10/17, 242, 43
2005/10/18, 242, 43
2005/10/19, 243, 43
2005/10/20, 243, 44
2005/10/21, 246, 44
2005/10/22, 246, 44
2005/10/23, 246, 44
2005/10/24, 246, 44
2005/10/25, 246, 44
2005/10/26, 247, 45
2005/10/27, 247, 45
2005/10/28, 248, 45
2005/10/29, 248, 45
2005/10/30, 248, 45
2005/11/01, 248, 45
2005/11/02, 249, 45
2005/11/03, 249, 45
2005/11/04, 250, 45
2005/11/05, 252, 45
2005/11/06, 252, 45
2005/11/07, 253, 45
2005/11/08, 254, 45
2005/11/09, 256, 46
2005/11/10, 257, 46
2005/11/11, 257, 46
2005/11/12, 258, 46
2005/11/13, 259, 46
2005/11/14, 257, 46
2005/11/15, 258, 46
2005/11/16, 258, 46
2005/11/17, 258, 46
2005/11/18, 258, 47
2005/11/19, 258, 47
2005/11/21, 258, 47
2005/11/22, 258, 47
2005/11/23, 258, 47
2005/11/24, 258, 47
2005/11/25, 259, 47
2005/11/27, 259, 47
2005/11/28, 259, 47
2005/11/29, 260, 47
2005/11/30, 260, 47
2005/12/01, 260, 47
2005/12/02, 261, 47
2005/12/03, 261, 47
2005/12/04, 262, 47
2005/12/05, 262, 47
2005/12/06, 262, 47
2005/12/07, 262, 47
2005/12/08, 262, 47
2005/12/12, 262, 47
2005/12/13, 264, 47
2005/12/14, 264, 47
2005/12/15, 264, 47
2005/12/16, 264, 47
2005/12/18, 264, 47
2005/12/19, 264, 47
2005/12/20, 265, 47
2005/12/23, 265, 47
2005/12/24, 266, 47
2005/12/27, 266, 47
2005/12/28, 266, 47
2005/12/29, 267, 47
2005/12/30, 267, 47
2006/01/01, 267, 47
2006/01/02, 269, 47
2006/01/03, 269, 47
2006/01/04, 269, 47
2006/01/05, 269, 47
2006/01/06, 269, 47
2006/01/07, 269, 47
2006/01/08, 269, 47
2006/01/09, 269, 47
2006/01/10, 269, 47
2006/01/12, 269, 47
2006/01/13, 269, 47
2006/01/15, 269, 47
2006/01/16, 270, 47
2006/01/17, 272, 47
2006/01/18, 272, 47
2006/01/19, 272, 47
2006/01/20, 272, 47
2006/01/21, 273, 47
2006/01/22, 274, 47
2006/01/23, 274, 47
2006/01/24, 274, 48
2006/01/25, 274, 48
2006/01/26, 274, 48
2006/01/27, 275, 48
2006/01/28, 275, 48
2006/01/29, 274, 48
2006/01/30, 274, 48
2006/01/31, 274, 48
2006/02/01, 274, 48
2006/02/02, 274, 48
2006/02/03, 274, 48
2006/02/04, 274, 48
2006/02/05, 275, 48
2006/02/06, 276, 48
2006/02/07, 277, 48
2006/02/08, 277, 48
2006/02/09, 277, 48
2006/02/10, 280, 48
2006/02/11, 280, 48
2006/02/13, 280, 48
2006/02/14, 280, 49
2006/02/15, 281, 49
2006/02/16, 281, 49
2006/02/17, 282, 49
2006/02/18, 283, 49
2006/02/19, 283, 49
2006/02/20, 283, 49
2006/02/21, 283, 49
2006/02/22, 283, 49
2006/02/23, 283, 49
2006/02/24, 283, 49
2006/02/25, 283, 49
2006/02/27, 283, 49
2006/03/01, 284, 49
2006/03/02, 285, 49
2006/03/03, 285, 49
2006/03/04, 285, 49
2006/03/05, 287, 49
2006/03/06, 287, 49
2006/03/07, 287, 49
2006/03/08, 289, 49
2006/03/09, 290, 49
2006/03/10, 290, 49
2006/03/11, 290, 49
2006/03/12, 290, 49
2006/03/13, 290, 49
2006/03/14, 290, 49
2006/03/15, 291, 49
2006/03/16, 291, 50
2006/03/17, 291, 50
2006/03/19, 291, 50
2006/03/20, 291, 50
2006/03/21, 291, 51
2006/03/22, 290, 51
2006/03/23, 289, 51
2006/03/24, 289, 51
2006/03/25, 289, 52
2006/03/27, 291, 52
2006/03/28, 293, 52
2006/03/29, 294, 52
2006/03/30, 294, 52
2006/03/31, 294, 52
2006/04/02, 294, 51
2006/04/03, 295, 51
2006/04/04, 296, 51
2006/04/05, 296, 51
2006/04/06, 295, 50
2006/04/07, 294, 50
2006/04/08, 294, 50
2006/04/09, 294, 50
2006/04/10, 294, 50
2006/04/11, 295, 50
2006/04/12, 295, 50
2006/04/13, 295, 50
2006/04/14, 296, 50
2006/04/15, 296, 50
2006/04/16, 296, 50
2006/04/17, 297, 50
2006/04/18, 298, 50
2006/04/19, 300, 50
2006/04/20, 300, 50
2006/04/21, 300, 50
2006/04/22, 300, 50
2006/04/24, 301, 50
2006/04/25, 301, 51
2006/04/26, 301, 52
2006/04/27, 301, 52
2006/04/28, 302, 52
2006/04/29, 302, 52
2006/04/30, 302, 52
2006/05/01, 302, 52
2006/05/02, 303, 52
2006/05/03, 303, 52
2006/05/04, 303, 52
2006/05/05, 303, 52
2006/05/06, 304, 52
2006/05/07, 304, 53
2006/05/08, 304, 54
2006/05/09, 306, 54
2006/05/11, 307, 54
2006/05/12, 307, 54
2006/05/14, 309, 55
2006/05/16, 309, 55
2006/05/17, 309, 55
2006/05/18, 309, 55
2006/05/19, 309, 55
2006/05/21, 309, 56
2006/05/22, 309, 56
2006/05/23, 309, 56
2006/05/24, 309, 56
2006/05/25, 309, 56
2006/05/27, 309, 56
2006/05/28, 309, 56
2006/05/29, 309, 56
2006/05/30, 309, 56
2006/06/01, 309, 56
2006/06/02, 309, 56
2006/06/03, 309, 56
2006/06/04, 309, 56
2006/06/05, 309, 56
2006/06/06, 309, 56
2006/06/07, 309, 56
2006/06/08, 309, 56
2006/06/10, 309, 56
2006/06/11, 309, 56
2006/06/12, 309, 56
2006/06/13, 309, 56
2006/06/14, 309, 56
2006/06/15, 309, 56
2006/06/16, 309, 56
2006/06/17, 309, 56
2006/06/19, 309, 56
2006/06/21, 309, 56
2006/06/22, 309, 56
2006/06/23, 309, 56
2006/06/25, 310, 56
2006/06/26, 310, 56
2006/06/27, 310, 56
2006/06/28, 310, 56
2006/06/29, 310, 56
2006/06/30, 310, 56
2006/07/01, 310, 56
2006/07/03, 311, 56
2006/07/04, 311, 56
2006/07/05, 310, 56
2006/07/06, 310, 56
2006/07/08, 310, 56
2006/07/09, 310, 56
2006/07/10, 310, 56
2006/07/11, 310, 56
2006/07/12, 310, 56
2006/07/13, 310, 56
2006/07/14, 310, 56
2006/07/15, 310, 56
2006/07/16, 310, 56
2006-07-17, 293, 55
2006-07-19, 293, 55
2006-07-20, 294, 56
2006-07-21, 294, 56
2006-07-23, 294, 56
2006-07-24, 295, 56
2006-07-25, 293, 56
2006-07-26, 292, 56
2006-07-27, 290, 56
2006-07-30, 290, 56
2006-07-31, 290, 56
2006-08-01, 291, 56
2006-08-02, 290, 56
2006-08-03, 290, 56
2006-08-04, 290, 56
2006-08-05, 290, 56
2006-08-07, 290, 56
2006-08-09, 290, 56
2006-08-10, 290, 56
2006-08-11, 291, 56
2006-08-12, 291, 56
2006-08-15, 291, 56
2006-08-16, 291, 56
2006-08-17, 292, 56
2006-08-19, 293, 56
2006-08-21, 294, 56
2006-08-22, 293, 56
2006-08-23, 293, 56
2006-08-24, 293, 56
2006-08-25, 296, 58
2006-08-26, 297, 57
2006-08-29, 297, 57
2006-08-30, 297, 57
2006-08-31, 297, 57
2006-09-01, 297, 57
2006-09-02, 297, 57
2006-09-03, 297, 57
2006-09-05, 297, 57
2006-09-06, 297, 57
2006-09-07, 297, 57
2006-09-08, 297, 58
2006-09-11, 298, 58
2006-09-12, 298, 58
2006-09-13, 298, 58
2006-09-14, 301, 58
2006-09-15, 301, 58
2006-09-16, 302, 58
2006-09-17, 303, 58
2006-09-18, 303, 58
2006-09-19, 304, 58
2006-09-20, 305, 58
2006-09-22, 305, 58
2006-09-23, 306, 58
2006-09-25, 306, 58
2006-09-26, 306, 58
2006-09-27, 306, 58
2006-09-28, 306, 58
2006-09-29, 307, 58
2006-09-30, 308, 58
2006-10-01, 308, 58
2006-10-02, 308, 58
2006-10-03, 309, 58
2006-10-04, 309, 57
2006-10-05, 310, 57
2006-10-06, 312, 57
2006-10-07, 312, 57
2006-10-10, 313, 57
2006-10-11, 313, 57
2006-10-12, 313, 57
2006-10-13, 313, 57
2006-10-14, 313, 57
2006-10-16, 315, 57
2006-10-17, 316, 57
2006-10-18, 316, 57
2006-10-19, 316, 57
2006-10-20, 316, 57
2006-10-21, 316, 57
2006-10-23, 316, 57
2006-10-24, 317, 57
2006-10-25, 317, 57
2006-10-26, 317, 57
2006-10-28, 317, 57
2006-10-29, 317, 57
2006-10-30, 318, 57
2006-10-31, 317, 57
2006-11-02, 318, 57
2006-11-03, 318, 57
2006-11-04, 318, 57
2006-11-06, 318, 56
2006-11-07, 318, 56
2006-11-08, 318, 56
2006-11-09, 319, 56
2006-11-10, 319, 56
2006-11-11, 319, 56
2006-11-13, 320, 56
2006-11-14, 320, 56
2006-11-15, 320, 56
2006-11-16, 321, 56
2006-11-17, 320, 56
2006-11-21, 320, 56
2006-11-22, 321, 56
2006-11-24, 320, 56
2006-11-25, 322, 56
2006-11-27, 322, 56
2006-11-28, 323, 56
2006-11-29, 322, 56
2006-11-30, 322, 56
2006-12-01, 322, 55
2006-12-04, 322, 55
2006-12-05, 323, 55
2006-12-06, 322, 55
2006-12-08, 323, 55
2006-12-10, 323, 55
2006-12-11, 323, 55
2006-12-14, 323, 55
2006-12-19, 323, 55
2006-12-21, 323, 55
2006-12-24, 323, 55
2006-12-27, 323, 55
2006-12-28, 323, 55
2006-12-29, 324, 55
2006-12-30, 324, 55
2006-12-31, 323, 55
2007-01-02, 322, 55
2007-01-03, 322, 55
2007-01-04, 322, 55
2007-01-05, 322, 55
2007-01-07, 322, 55
2007-01-08, 321, 55
2007-01-09, 322, 55
2007-01-11, 322, 55
2007-01-12, 322, 55
2007-01-14, 322, 55
2007-01-15, 322, 55
2007-01-16, 323, 55
2007-01-18, 324, 55
2007-01-19, 324, 55
2007-01-22, 324, 55
2007-01-23, 324, 56
2007-01-24, 324, 56
2007-01-25, 324, 56
2007-01-26, 323, 56
2007-01-27, 322, 56
