irc://irc.freenode.org/pypy
messages, messages, visitors
2005-12-31, 27, 14
2006-01-01, 61, 14
2006-01-02, 121, 17
2006-01-03, 17, 21
2006-01-04, 126, 21
2006-01-05, 291, 23
2006-01-06, 610, 20
2006-01-07, 499, 21
2006-01-08, 264, 21
2006-01-09, 424, 24
2006-01-10, 860, 25
2006-01-11, 335, 24
2006-01-12, 611, 25
2006-01-13, 208, 27
2006-01-14, 447, 19
2006-01-15, 79, 22
2006-01-16, 585, 19
2006-01-17, 541, 28
2006-01-18, 142, 27
2006-01-19, 67, 28
2006-01-20, 11, 19
2006-01-21, 139, 20
2006-01-22, 202, 14
2006-01-23, 109, 24
2006-01-24, 84, 21
2006-01-25, 622, 29
2006-01-26, 30, 24
2006-01-27, 103, 21
2006-01-28, 107, 21
2006-01-29, 216, 17
2006-01-30, 38, 19
2006-01-31, 541, 29
2006-02-01, 546, 21
2006-02-02, 223, 24
2006-02-03, 79, 23
2006-02-04, 168, 17
2006-02-05, 300, 18
2006-02-06, 261, 20
2006-02-07, 378, 23
2006-02-08, 864, 24
2006-02-09, 381, 24
2006-02-10, 450, 23
2006-02-11, 545, 15
2006-02-12, 480, 19
2006-02-13, 497, 21
2006-02-14, 672, 28
2006-02-15, 823, 18
2006-02-16, 300, 21
2006-02-17, 148, 19
2006-02-18, 314, 15
2006-02-19, 507, 18
2006-02-20, 726, 18
2006-02-21, 600, 15
2006-02-22, 560, 23
2006-02-23, 52, 18
2006-02-24, 345, 17
2006-02-25, 108, 17
2006-02-26, 85, 11
2006-02-27, 325, 27
2006-02-28, 314, 25
2006-03-01, 374, 23
2006-03-02, 99, 25
2006-03-03, 17, 18
2006-03-04, 12, 15
2006-03-05, 9, 26
2006-03-06, 347, 24
2006-03-07, 423, 24
2006-03-08, 184, 22
2006-03-09, 669, 28
2006-03-10, 681, 28
2006-03-11, 110, 12
2006-03-12, 227, 18
2006-03-13, 418, 29
2006-03-14, 546, 29
2006-03-15, 776, 24
2006-03-16, 1131, 23
2006-03-17, 542, 22
2006-03-18, 376, 16
2006-03-19, 348, 21
2006-03-20, 657, 26
2006-03-21, 440, 26
2006-03-22, 834, 24
2006-03-23, 639, 24
2006-03-24, 916, 20
2006-03-25, 328, 18
2006-03-26, 503, 19
2006-03-27, 541, 19
2006-03-28, 413, 21
2006-03-29, 656, 24
2006-03-30, 397, 27
2006-03-31, 57, 25
2006-04-01, 158, 23
2006-04-02, 438, 23
2006-04-03, 219, 34
2006-04-04, 340, 26
2006-04-05, 183, 26
2006-04-06, 64, 32
2006-04-07, 278, 30
2006-04-08, 148, 19
2006-04-09, 74, 23
2006-04-10, 360, 30
2006-04-11, 455, 24
2006-04-12, 874, 28
2006-04-13, 596, 22
2006-04-14, 387, 22
2006-04-15, 425, 15
2006-04-16, 275, 16
2006-04-17, 265, 21
2006-04-18, 572, 29
2006-04-19, 335, 22
2006-04-20, 386, 28
2006-04-21, 477, 21
2006-04-22, 215, 27
2006-04-23, 228, 28
2006-04-24, 884, 33
2006-04-25, 871, 35
2006-04-26, 567, 28
2006-04-27, 828, 25
2006-04-28, 576, 23
2006-04-29, 471, 19
2006-04-30, 40, 13
2006-05-01, 76, 16
2006-05-02, 439, 30
2006-05-03, 498, 28
2006-05-04, 866, 26
2006-05-05, 268, 28
2006-05-06, 701, 20
2006-05-07, 518, 13
2006-05-08, 558, 23
2006-05-09, 476, 31
2006-05-10, 459, 26
2006-05-11, 598, 26
2006-05-12, 849, 23
2006-05-13, 465, 13
2006-05-14, 133, 17
2006-05-15, 395, 25
2006-05-16, 784, 29
2006-05-17, 603, 33
2006-05-18, 659, 31
2006-05-19, 440, 22
2006-05-20, 572, 15
2006-05-21, 419, 22
2006-05-22, 517, 27
2006-05-23, 359, 24
2006-05-24, 483, 31
2006-05-25, 107, 24
2006-05-26, 203, 17
2006-05-27, 404, 21
2006-05-28, 466, 20
2006-05-29, 245, 25
2006-05-30, 532, 19
2006-05-31, 649, 23
2006-06-01, 90, 24
2006-06-02, 117, 20
2006-06-03, 100, 28
2006-06-04, 81, 22
2006-06-05, 96, 27
2006-06-06, 94, 22
2006-06-07, 211, 17
2006-06-08, 173, 26
2006-06-09, 61, 22
2006-06-10, 283, 19
2006-06-11, 189, 15
2006-06-12, 642, 17
2006-06-13, 463, 15
2006-06-14, 589, 25
2006-06-15, 670, 22
2006-06-16, 486, 20
2006-06-17, 266, 16
2006-06-18, 32, 11
2006-06-19, 509, 22
2006-06-20, 681, 25
2006-06-21, 377, 20
2006-06-22, 530, 22
2006-06-23, 522, 24
2006-06-24, 116, 15
2006-06-25, 188, 36
2006-06-26, 446, 21
2006-06-27, 329, 30
2006-06-28, 290, 24
2006-06-29, 260, 18
2006-06-30, 294, 22
2006-07-01, 232, 20
2006-07-02, 188, 20
2006-07-03, 106, 19
2006-07-04, 242, 20
2006-07-05, 77, 14
2006-07-06, 125, 17
2006-07-07, 62, 8
2006-07-08, 244, 12
2006-07-09, 60, 13
2006-07-10, 254, 18
2006-07-11, 467, 22
2006-07-12, 539, 21
2006-07-13, 260, 19
2006-07-14, 273, 31
2006-07-15, 180, 16
2006-07-16, 175, 14
2006-07-17, 526, 20
2006-07-18, 421, 19
2006-07-19, 607, 20
2006-07-20, 575, 38
2006-07-21, 369, 31
2006-07-22, 293, 13
2006-07-23, 449, 18
2006-07-24, 1042, 23
2006-07-25, 749, 25
2006-07-26, 348, 22
2006-07-27, 938, 22
2006-07-28, 660, 19
2006-07-29, 350, 19
2006-07-30, 773, 12
2006-07-31, 266, 18
2006-08-01, 561, 26
2006-08-02, 438, 20
2006-08-03, 562, 22
2006-08-04, 431, 20
2006-08-05, 57, 13
2006-08-06, 182, 19
2006-08-07, 719, 22
2006-08-08, 321, 21
2006-08-09, 328, 15
2006-08-10, 153, 23
2006-08-11, 374, 14
2006-08-12, 213, 16
2006-08-13, 43, 9
2006-08-14, 296, 15
2006-08-15, 301, 19
2006-08-16, 278, 18
2006-08-17, 120, 19
2006-08-18, 74, 23
2006-08-19, 0, 9
2006-08-20, 116, 13
2006-08-21, 130, 23
2006-08-22, 84, 21
2006-08-23, 85, 22
2006-08-24, 138, 21
2006-08-25, 44, 23
2006-08-26, 130, 16
2006-08-27, 97, 21
2006-08-28, 101, 35
2006-08-29, 806, 23
2006-08-30, 596, 26
2006-08-31, 537, 24
2006-09-01, 102, 17
2006-09-02, 162, 15
2006-09-03, 15, 10
2006-09-04, 179, 22
2006-09-05, 169, 16
2006-09-06, 422, 22
2006-09-07, 564, 27
2006-09-08, 157, 19
2006-09-09, 198, 11
2006-09-10, 206, 10
2006-09-11, 294, 21
2006-09-12, 310, 21
2006-09-13, 290, 19
2006-09-14, 313, 26
2006-09-15, 340, 25
2006-09-16, 342, 20
2006-09-17, 398, 16
2006-09-18, 411, 19
2006-09-19, 178, 23
2006-09-20, 471, 18
2006-09-21, 164, 23
2006-09-22, 217, 22
2006-09-23, 220, 11
2006-09-24, 126, 8
2006-09-25, 346, 20
2006-09-26, 117, 17
2006-09-27, 298, 22
2006-09-28, 722, 24
2006-09-29, 515, 26
2006-09-30, 106, 21
2006-10-01, 145, 18
2006-10-02, 564, 18
2006-10-03, 466, 32
2006-10-04, 873, 31
2006-10-05, 709, 28
2006-10-06, 600, 23
2006-10-07, 86, 16
2006-10-08, 278, 15
2006-10-09, 659, 29
2006-10-10, 945, 24
2006-10-11, 966, 20
2006-10-12, 887, 26
2006-10-13, 249, 24
2006-10-14, 10, 15
2006-10-15, 34, 19
2006-10-16, 709, 23
2006-10-17, 410, 23
2006-10-18, 501, 25
2006-10-19, 552, 29
2006-10-20, 109, 18
2006-10-21, 380, 14
2006-10-22, 66, 13
2006-10-23, 133, 17
2006-10-24, 162, 15
2006-10-25, 84, 14
2006-10-26, 149, 13
2006-10-27, 359, 13
2006-10-28, 252, 18
2006-10-29, 170, 18
2006-10-30, 62, 20
2006-10-31, 286, 23
2006-11-01, 188, 20
2006-11-02, 291, 35
2006-11-03, 212, 19
2006-11-04, 166, 24
2006-11-05, 131, 24
2006-11-06, 405, 24
2006-11-07, 802, 30
2006-11-08, 1229, 26
2006-11-09, 1277, 27
2006-11-10, 331, 24
2006-11-11, 450, 19
2006-11-12, 330, 17
2006-11-13, 781, 18
2006-11-14, 535, 25
2006-11-15, 574, 17
2006-11-16, 340, 19
2006-11-17, 522, 20
2006-11-18, 114, 14
2006-11-19, 238, 16
2006-11-20, 211, 25
2006-11-21, 475, 26
2006-11-22, 173, 16
2006-11-23, 513, 24
2006-11-24, 683, 20
2006-11-25, 151, 15
2006-11-26, 196, 30
2006-11-27, 370, 22
2006-11-28, 336, 22
2006-11-29, 379, 28
2006-11-30, 727, 24
2006-12-01, 628, 19
2006-12-02, 204, 12
2006-12-03, 437, 14
2006-12-04, 491, 25
2006-12-05, 361, 22
2006-12-06, 410, 25
2006-12-07, 536, 23
2006-12-08, 255, 22
2006-12-09, 151, 41
2006-12-10, 52, 12
2006-12-11, 704, 32
2006-12-12, 472, 25
2006-12-13, 521, 29
2006-12-14, 201, 23
2006-12-15, 538, 27
2006-12-16, 282, 18
2006-12-17, 111, 14
2006-12-18, 177, 18
2006-12-19, 381, 20
2006-12-20, 399, 25
2006-12-21, 397, 26
2006-12-22, 240, 41
2006-12-23, 15, 16
2006-12-24, 15, 10
2006-12-25, 82, 10
2006-12-26, 3, 12
2006-12-27, 256, 18
2006-12-28, 220, 19
2006-12-29, 103, 16
2006-12-30, 285, 12
2006-12-31, 548, 17
2007-01-01, 544, 14
2007-01-02, 263, 15
2007-01-03, 631, 18
2007-01-04, 297, 12
2007-01-05, 392, 17
2007-01-06, 103, 14
2007-01-07, 53, 12
2007-01-08, 232, 28
2007-01-09, 98, 32
2007-01-10, 183, 27
2007-01-11, 162, 27
2007-01-12, 694, 24
2007-01-13, 246, 24
2007-01-14, 81, 26
2007-01-15, 327, 27
2007-01-16, 799, 22
2007-01-17, 222, 22
2007-01-18, 158, 23
2007-01-19, 819, 27
2007-01-20, 226, 18
2007-01-21, 117, 17
2007-01-22, 490, 27
2007-01-23, 279, 27
2007-01-24, 374, 21
2007-01-25, 449, 20
2007-01-26, 321, 18
2007-01-27, 156, 13
2007-01-28, 376, 14
2007-01-29, 427, 21
2007-01-30, 715, 22
2007-01-31, 624, 30
2007-02-01, 446, 20
2007-02-02, 248, 25
2007-02-03, 437, 16
2007-02-04, 256, 19
2007-02-05, 473, 19
2007-02-06, 198, 16
2007-02-07, 439, 35
2007-02-08, 472, 17
2007-02-09, 803, 24
2007-02-10, 274, 23
2007-02-11, 622, 18
2007-02-12, 786, 23
2007-02-13, 1172, 25
2007-02-14, 1101, 28
2007-02-15, 1236, 23
2007-02-16, 793, 23
2007-02-17, 1399, 22
2007-02-18, 636, 18
2007-02-19, 761, 28
2007-02-20, 414, 23
